bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 59270.46459451843 3.236729567119699 36.898995361719535 0.5549953684042899 1.1082250275511254 0.3942288408739393 0.6495368045266682 0.3379546436478716 9.822 9.751 0.0 0.0
c-o  True F19 6 59261.50739915536 0.9525417598514785 37.34977390159354 0.17463390756451824 1.2554285678946264 0.07725371384733479 0.11999103135941301 0.10943900019701934 0.752 0.749 0.766 0.77
c-o-ztfg  True F19 6 59260.92710197773 0.5147581497081167 36.849886092804276 0.17407575629900454 1.0406595875820552 0.06636755382823781 0.26793983889228645 0.08666317107906478 1.251 1.245 0.162 0.167
c-o-ztfg-ztfr  True O94 0 59260.65657031736 0.5498384350908059 37.19214958283258 0.12250002438092897 1.2120429353309272 0.05641793033268966 0.136242724810942 0.0770736629249526 1.224 1.21 0.154 0.167
c-o-ztfg-ztfr  True F19 6 59260.8508389298 0.5100849497761749 37.26535606261819 0.11213126586729667 1.1913964246989532 0.05298773911914193 0.12997893065325541 0.0744846778678189 1.146 1.134 0.24 0.256
c-o-ztfr  True F19 6 59261.55874771644 0.6455125015214089 37.25351073488282 0.12644130913896515 1.1031312130073763 0.07765033335348617 0.08552946746260166 0.08365928766427978 0.802 0.794 0.77 0.78
c-ztfg-ztfr  True F19 6 59261.02985616478 0.4409548194772486 37.15239156144165 0.11317494351857513 1.019298254067966 0.05454100521684902 0.093191521702876 0.07276537607438804 0.946 0.939 0.542 0.552
J-c-o 1D3 True O94 0 59262.58003745464 0.6118734744753355 37.238062212132675 0.14399717143871069 1.1141893820550894 0.06876689525498397 0.08698815323667927 0.08446019093260898 0.662 0.658 0.881 0.884
J-c-o 1D3 True F19 6 59262.41372973417 0.57408448044341 37.210427183964526 0.11579363591807733 1.105632873355252 0.0637157590027681 0.08924687544749654 0.07450591480388975 0.67 0.666 0.873 0.876
J-c-o 2D True O94 0 59262.48060246308 0.627302400793178 37.21466096177639 0.14897782181391805 1.1242072418311024 0.07188280350432844 0.10182211550024872 0.08770637512576397 0.659 0.655 0.883 0.886
J-c-o 2D True F19 6 59262.31393693619 0.5929867765156878 37.18295602758948 0.12117946862637732 1.1027176263544134 0.0667135354136393 0.10382068468452901 0.0768120707587359 0.684 0.68 0.86 0.864
J-c-o-ztfg 1D3 True F19 6 59261.55863407439 0.5347602452967603 37.06292229086769 0.13522905581377387 1.080120577897684 0.07861344047883463 0.17385737130163725 0.07490769786081095 1.403 1.391 0.065 0.07
J-c-o-ztfg 2D True F19 6 59261.49671394344 0.5377832072540053 37.0221368269985 0.14010601646446424 1.0756572673193543 0.07849982841807909 0.19396934470607996 0.0758460691198578 1.378 1.368 0.075 0.08
J-c-o-ztfg-ztfr 1D3 True O94 0 59261.33129960495 0.46311750804311835 37.20417052249272 0.12453609729423 1.129641421279571 0.06794646854741519 0.13058396545772022 0.07561361857790024 1.036 1.024 0.407 0.428
J-c-o-ztfg-ztfr 1D3 True F19 6 59261.35284816545 0.4562159263021261 37.16805455418858 0.11195883401148717 1.0766279394995837 0.062252781290975584 0.12061468981077286 0.07015691211124159 1.147 1.137 0.233 0.247
J-c-o-ztfg-ztfr 2D True O94 0 59261.12822341054 0.48119685379616434 37.43661430921835 0.08231798869510558 1.2328861075880038 0.044917229250346406 0 0.06 0.986 0.973 0.497 0.522
J-c-o-ztfg-ztfr 2D True F19 6 59261.333582544874 0.45900400691454735 37.15377107158565 0.11441513171027881 1.075406851103941 0.0630311897052513 0.12875304403598573 0.07073191115913091 1.159 1.149 0.218 0.231
J-c-o-ztfr 1D3 True F19 6 59261.75894161748 0.47507035775955325 37.20438034169825 0.1043088883068629 1.0489886921360843 0.05431386932777755 0.06869905225273631 0.073068839018371 0.755 0.75 0.842 0.849
J-c-o-ztfr 2D True F19 6 59261.7240663189 0.48199379581838514 37.19115843755991 0.10680202183592737 1.0485471555890638 0.05524978313460897 0.07728662545210575 0.07430659152883216 0.771 0.766 0.823 0.83
J-c-ztfg-ztfr 1D3 True F19 6 59261.070518971464 0.42589020113784526 37.12108935047335 0.10221183891271769 0.9987016192620265 0.04987560293057001 0.09548109915509097 0.06887359794908765 0.886 0.88 0.642 0.651
J-c-ztfg-ztfr 2D True F19 6 59261.055701987694 0.4303897627193602 37.10478193166806 0.10509478811138816 0.9996215479521436 0.050814964169348366 0.10622431782168043 0.0697017941659343 0.923 0.916 0.585 0.595
J-o-ztfg-ztfr 1D3 True F19 6 59261.445050644834 0.4549306666586623 37.12689410781966 0.10795192294612312 1.033935592581324 0.05525867672044826 0.1375364942003776 0.06876514860144975 0.726 0.722 0.883 0.887
J-o-ztfg-ztfr 2D True F19 6 59261.43328942022 0.456280433092432 37.10549835846862 0.10990228729131364 1.0301456235790185 0.055173678557287435 0.14879160646303985 0.06917116634804484 0.721 0.717 0.888 0.892
J-ztfg-ztfr 1D3 True O94 0 59261.41936076461 0.3830539205589048 37.00358612213382 0.10013294697524132 0.9280292729564907 0.040154717229537416 0.16436335511495362 0.06457552907101381 0.309 0.307 0.999 0.999
J-ztfg-ztfr 1D3 True F19 6 59261.41757449495 0.3811778236985336 37.05433632981621 0.09216549620945864 0.9285173072277473 0.03978703379132079 0.10011552771773004 0.0641496046619336 0.308 0.306 0.999 0.999
J-ztfg-ztfr 2D True O94 0 59261.40154868131 0.38419782220965787 36.98354779659566 0.10233815939067341 0.9309085988855649 0.040405152219647356 0.17820527966024377 0.06480733663948089 0.308 0.306 0.999 0.999
J-ztfg-ztfr 2D True F19 6 59261.40260668655 0.38247846074655945 37.03526113232888 0.09395114008671074 0.9294142127547451 0.040043843372187804 0.11328032229599723 0.06445814945357047 0.311 0.308 0.999 0.999
o-ztfg-ztfr  True F19 6 59260.83359034425 0.5634791993628762 37.27884943142268 0.1087881025401438 1.1933105532138317 0.05501843607805179 0.1379425831492009 0.07292696319328772 0.746 0.736 0.85 0.86
ztfg-ztfr  True O94 0 59261.349943157315 0.39285451112484066 37.00579639571529 0.1041340740018609 0.9305996238067243 0.04193288267213362 0.16398547707715014 0.06709523112710201 0.338 0.336 0.995 0.995
ztfg-ztfr  True F19 6 59261.35107935058 0.3901046323396694 37.06102504708613 0.09571285406428405 0.9305640876501836 0.04136050640032086 0.09592056554963771 0.06647570422763148 0.339 0.336 0.995 0.995
