bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 19.112559369023067 0.07385796190044244 None None 1.0530897434171913 0.12515785529935547 18.99104845185573 0.0889688838040376 59441.55962417495 0.9798608512522268 None None 0.601 0.6 0.894 0.895
c-o  True O94 19.11312937993291 0.0738577095299811 None None 1.0528948046683375 0.12509648013400199 18.99108442072905 0.08895388467940307 59441.5587708883 0.9798036237571688 None None 0.602 0.6 0.894 0.895
c-o-ztfg-ztfr  True O94 19.110806196165505 0.058080288068487564 None None 1.189608644864127 0.0839666068629157 18.997845412817473 0.042803075513703756 59442.027632121215 0.6008305614199408 19.185410485613755 0.04612833465111878 0.546 0.542 0.977 0.979
J-c-o 1D3 True O94 18.957787749763344 0.21797283049515395 18.639177885472225 0.11445654953236509 1.4180315455202592 0.2341675905508847 19.38866567709179 0.17610898692891522 59447.62833704645 1.8783652624760823 None None 3.909 3.279 0.0 0.0
J-c-o 2D True O94 19.131479312723478 0.06494944241708762 19.209961438511527 0.16314139123388122 1.1741899873697643 0.12252794468669416 19.037131019989435 0.07379874648764105 59441.48597895564 1.0371471653275357 None None 0.561 0.558 0.935 0.936
J-c-o-ztfg-ztfr 1D3 True O94 19.027934164152672 0.13018208498273226 18.568024192133613 0.10050437799655017 1.478288551129539 0.11477916224167763 19.351770220464203 0.09834478881921857 59445.22242484827 1.3342765298104537 19.14283813700508 0.11206969779250192 3.106 2.531 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 19.110512933306836 0.0577801519422696 19.26488709509485 0.1345844828850212 1.1893307581775405 0.0812929100486363 18.982671247032023 0.04201431942723677 59442.08926905482 0.592575851721279 19.182190390301784 0.04590983169199306 0.545 0.539 0.981 0.983
J-c-o-ztfg-ztfr 2D True O94 19.111023838513628 0.057783829101972994 19.265210352888708 0.13459124087115906 1.1891496666833603 0.08128998526927461 18.982955375284444 0.042017344920698925 59442.09000185172 0.5925410919612146 19.18219213859133 0.04591293652801741 0.545 0.539 0.981 0.983
J-ztfg-ztfr 1D3 True O94 None None 18.773956876628414 0.10378425776977199 1.7853653431617889 0.2731210301024008 19.637777098614535 0.0815826401559699 59450.090751898475 2.2660756500687507 19.078937709230853 0.15268491321624583 3.006 2.723 0.004 0.008
J-ztfg-ztfr 2D True O94 None None 19.236073769925746 0.11606043872505753 1.1740341864944392 0.07256259562230416 18.991674603400043 0.040889296044651566 59442.01045839553 0.5577469100501389 19.18722542480078 0.03623736012998479 0.371 0.363 0.968 0.97
ztfg-ztfr  True O94 None None None None 1.1283827272023443 0.08413262451765656 18.987736742036585 0.050335131657884474 59442.15184297412 0.5628597210179869 19.179964696620466 0.038451511587298134 0.384 0.377 0.944 0.946
